WE 10DPA,WE 20DPA,SE 20DPA,SE 30DPA,AL 20DPA,AL 30DPA,TC 20DPA
TraesCS1A02G019700,0,0,0,0,0,0,0
TraesCS1A02G095600,0,0,0,0.0407011869977151,0,0,0
TraesCS1A02G164700,0.133553029523207,0.908830654146955,0.1312625891345,0.33432661072577,2.11722991077052,0.716650121415356,0.214621907119494
TraesCS1A02G256700,0,0,0,0,0,0,0
TraesCS1A02G310300,0,0,0,0,0,0,0
TraesCS2A02G219600,0.411288367797557,0.292586314261385,0.629104580450772,0.355077854164965,0.0444694834270329,0.387983651139064,7.01645263394789
TraesCS2A02G219700,0.0200905813469631,0,0,0,0,0,0
TraesCS2A02G231600,0.119305414326348,0.338797468045089,0.0752333327154693,0.217431297915108,0.215800493408296,0.344150084389049,0.300069582049982
TraesCS2A02G300300,0,0.0260125008234464,0,0,0.0162038351247362,0,0
TraesCS2A02G505300,0,0,0,0,0,0,0
TraesCS2A02G516300,1.12863757297441,2.51381435765238,1.56090000789153,3.81207068491075,2.99605463844932,3.38664581162407,2.42892764119166
TraesCS2A02G575700,0,0,0.0430875746276587,0.569103471047963,0.0155610218243895,0.255040875945939,0.276661956446091
TraesCS2A02G584400,0,0,0,0,0,0,0
TraesCS2A02G584600,0,0,0,0,0,0,0
TraesCS2A02G707500_M,0,0,0,0,0,0,0
TraesCS3A02G007100,0,0,0,0,0,0,0.0142667157524534
TraesCS3A02G019600,0,0,0,0,0,0,0.0313154410766353
TraesCS3A02G196000,0,0.0264234408048595,0.0474606465270233,0,0,0.0767722327902523,0.0527186269506226
TraesCS3A02G298500,0,0.0570734394390686,0.0570896067944066,0,0.214885777521206,0.0757858841253263,0
TraesCS3A02G331900,0,0,0.0856524283723614,0,0.00967156880318432,0,0
TraesCS3A02G335900,0.2162184852637,0.0461152039290657,0,0,0.0070480836810009,0.0635992678448128,0.145539297578195
TraesCS3A02G339800,0.0964559632696709,0.0585951322486195,0.370472489864607,0,0.030892624227482,0.150911344135715,0.0945184428450936
TraesCS4A02G041500,0,0.0239114196275569,0.0425449694020376,0.0358336907081484,0,0,0.266038946323312
TraesCS4A02G271100,0,0.0180406355751055,0,0,0.00996086614264375,0,0.0479012483007806
TraesCS4A02G284700,4.53928944983965,0.638884444686168,1.61714488839095,1.20384123150465,0.00737816581576079,1.56426122575185,9.80387019861812
TraesCS4A02G415600,0.481420459937842,0.072327227991473,0.127772841048828,0.323793726395643,0.00574038500759882,0.155780717646008,3.62478031508825
TraesCS5A02G015800,0,0,0,0,0,0,0
TraesCS5A02G060000,0.171204477480568,0.0267023807325029,0,0.0719760707834882,0,0,0.368036029791155
TraesCS5A02G220400,0.102464660416204,0.438591387450738,0.930815451083313,0.26852319380216,0.843582516932307,0.579245616912058,0.336755875795128
TraesCS5A02G220500,0.0653131159348621,0.30233511185875,0.151649935072171,0.297829727149687,0.0198073810307969,0.492743384677957,0.0592815641182289
TraesCS5A02G483100,0,0,0,0,0,0,0
TraesCS6A02G008800,0.0609867923757631,0.0683505697403854,0.0713891940200532,0.20179403076316,0.152125025620615,0.0353199521948731,2.69833180226015
TraesCS6A02G009400,0,0,0,0,0,0,0.0357218015365033
TraesCS6A02G039800,0.0707021209503371,0,0,0.0659622806588152,0.0644501560493767,0.031971594313309,0
TraesCS6A02G271500,0.264132667550395,0,0,0.124481074398199,0.051683392857552,0.0770446896580011,0.180100471778883
TraesCS6A02G329600,0,0,0,0,0,0,0
TraesCS6A02G329700,0,0,0,0,0,0,0
TraesCS6A02G329800,0,0,0,0,0,0,0
TraesCS6A02G329900,0,0.0261946594087158,0,0.181095113592298,0,0.0219791391696767,0.0264637530225087
TraesCS6A02G330000,0,0,0,0,0,0,0
TraesCS6A02G330100,0,0,0,0,0,0,0
TraesCS7A02G109400,0,0,0,0,0,0,0
TraesCS7A02G109600,0,0,0,0,0,0,0
TraesCS7A02G169100,1.94161169956028,0.213567852480253,0.410878110501214,0.882497731777672,0.0829198841172686,0.472540787795305,6.49719958789209
TraesCS7A02G209000,0.45198336192343,0.148069550466238,0.469746632573357,0.164935497534334,0.280144145012314,0.374187701487074,0.297601638465301
TraesCS7A02G300400,0.0185524812844924,3.50115084761989,0,6.08938531708129,0.00919323240573686,12.7773437906872,0.129877121464341
TraesCS7A02G409900,0.20892620797236,1.72238718086741,1.07896297031138,2.28195695362645,0.899713832448941,2.09302823606692,0.719517197060381
TraesCS7A02G477400,0.0423083015785741,0.0241531235082687,0,0,0,0.105437474147641,0.0530363855186067
TraesCS7A02G477500,0.0705117260776501,0.772869477878192,1.78873099630899,0.617914213881496,0.128470863043018,0.521641325536351,1.84112890107852
TraesCS7A02G490000,0,0,0,0,0,0,0
TraesCS7A02G526900,0.0196423738577923,0,0,0,0,0,0.0335124026191158
TraesCS1B02G023900,0,0,0,0,0,0,0
TraesCS1B02G128000,0,0,0,0,0,0,0.0158760157549482
TraesCS1B02G181600,0.028524439974907,0.308187397820386,0.13233575865165,0.177622893138805,1.20810578267206,0.556394973563244,0.241908659452666
TraesCS1B02G267300,0,0,0,0,0,0,0.29159924284273
TraesCS1B02G321500,0,0,0,0.0441852655448376,0,0,0
TraesCS2B02G245100,0.477715560103216,0.196844443315849,0.319713617217822,0.610321817473218,0.025403976410431,0.364252442188354,7.43602753620143
TraesCS2B02G245300,0,0,0,0,0,0,0
TraesCS2B02G255800,0,0.0842366199246887,0.0976712650441004,0.026036017100968,0.0195566732999458,0,0.0620276781779631
TraesCS2B02G316600,0,1.10490215626408,0,0.635498957811371,2.53936570589729,0.807202847624188,0.188325958817314
TraesCS2B02G533700,0,0,0,0,0,0,0
TraesCS2B02G545100,1.54676173784528,6.39614978661711,8.01436158130572,11.4759990872712,1.46243364289302,7.08263598702269,4.48548536387763
TraesCS2B02G611600,0,1.0831286826625,0,1.57007418870016,0.00610727613082204,2.57840939306718,0.206362362770675
TraesCS2B02G598400,0,0,0,0,0,0,0
TraesCS2B02G598500,0,0.0240316638354541,0,0,0,0,0
TraesCS2B02G855500_M,0,0,0,0,0,0,0
TraesCS3B02G006900,0,0,0,0,0,0,0
TraesCS3B02G026700,0,0,0,0,0,0,0
TraesCS3B02G227600,0.10412062987247,0.325726120597502,0.13023041795028,0.313361303557524,0.0363380641817313,0.197359815371176,0.54491816259389
TraesCS3B02G338000,0,0.0275280887112477,0,0,0.0712484438587563,0.0624965522690346,0
TraesCS3B02G362000,0.0346187893500767,0.045001950494357,0,0,0.102393695697119,0.030870578370432,0
TraesCS3B02G366800,0.164599657052908,0,0.0453316162935648,0,0,0,0.342537767569095
TraesCS3B02G371400,0,0,0,0,0,0,0
TraesCS4B02G262500,0,0,0,0,0,0,0
TraesCS4B02G043000,0.0801979109842112,0.275766174108572,0.20753287638229,0.182768103139604,0.541369277939377,0.265077768836289,0.29167252205889
TraesCS4B02G028400,0.576099263296901,0.125644861943706,0.242432021193661,0.0646245776254706,0,0.168155098118442,0.692233722467401
TraesCS4B02G316400,0.0711689141494951,0.0233034315980161,0.109690239586807,0.0544382359465977,0.00472630129950108,0.0678746627225727,1.72478990371965
TraesCS5B02G014100,0,0,0,0,0,0,0
TraesCS5B02G067300,0.188367371145662,0,0,0,0,0,0.0436538522075183
TraesCS5B02G219500,1.48795616767842,1.62645406177436,4.67911139943108,0.957985311765173,0.818842626000405,2.53469935827897,1.50173529742703
TraesCS5B02G219600,0.14073263748108,0.41824126973848,0.131096808045743,0.272294084654802,0.381895840149036,0.857225420251204,0.0820338144521569
TraesCS5B02G496200,0,0,0,0,0.00665042714381011,0,0
TraesCS6B02G015400,0.159697169455085,0.243533929370918,0.290858444286668,0.40737318622194,0.146917936856015,0.226734671570697,2.99856666708123
TraesCS6B02G014700,0,0,0,0,0,0,0
TraesCS6B02G054800,0,0,0,0,0,0,0
TraesCS6B02G298700,0.123102281987675,0.00854022876153999,0.0343321587731699,0.0768315458045407,0.00878514618056941,0.0124680252698554,0.0568448529857375
TraesCS6B02G360400,0,0,0,0,0,0,0
TraesCS6B02G360500,0,0,0,0,0,0,0
TraesCS6B02G360600,0,0,0,0,0,0,0
TraesCS6B02G360700,0,0,0,0,0,0,0
TraesCS6B02G360800,0,0,0,0,0,0,0.0160592005521207
TraesCS6B02G360900,0,0.0380357869721548,0.0188860301640352,0.0141167822628579,0.0603517571299043,0.0491581225251449,0.0377464662865172
TraesCS7B02G007400,0,0,0,0,0,0,0
TraesCS7B02G007600,0,0,0,0,0,0,0
TraesCS7B02G073900,1.7678531784604,0.132059699909837,0.421345117918261,0.688546029201355,0.0353176330101274,0.189890963009449,7.13736538049947
TraesCS7B02G116100,0.0205292995932906,0.00813954227862516,0,0.0637106168793148,0.0770542968037972,0.0635814763932718,0.0190397599645594
TraesCS7B02G201300,0,0.029238690978525,0,0,0,0,0
TraesCS7B02G309300,0.128918884491483,0.699924731788383,0.350040896880013,0.441661676508891,1.34223614485606,0.766942930999575,0.208212391809235
TraesCS7B02G379000,0,0,0,0,0,0,0
TraesCS7B02G379300,0,0,0,0,0,0,0
TraesCS7B02G393200,0,0,0,0.0338342444452192,0,0,0
TraesCS7B02G388500,0,0,0,0,0,0,0
TraesCS1D02G019300,0,0,0,0,0,0,0
TraesCS1D02G104500,0,0,0,0,0,0,0.0411373789317813
TraesCS1D02G161800,0.362969631539958,0.847058157001697,0.185111880589817,0.172264994241543,1.96411050638806,0.883687248518257,0.305864673835798
TraesCS1D02G256100,0,0,0,0.036453811842084,0,0,0
TraesCS1D02G309800,0,0,0,0,0,0,0
TraesCS2D02G225400,0.562756485172123,0.1569717067907,0.363106489797181,0.704136072755591,0.00688626543322282,0.210068995420521,4.67154402957448
TraesCS2D02G225500,0,0,0,0,0,0,0
TraesCS2D02G271000_M,0,0,0,0,0.0116875202677585,0,0
TraesCS2D02G298200,0,0,0,0,0.0587488006555145,0.0229481933308559,0
TraesCS2D02G506100,0,0,0,0,0,0,0
TraesCS2D02G518100,1.4464047037071,3.13681622276835,5.72026793232187,6.97942185112461,0.463928292792813,2.98045705227469,2.99029921413031
TraesCS2D02G586500,0,0.386540010519511,0,1.58505663869713,0.0252560321994473,1.47374408664724,0.229410852276737
TraesCS2D02G601700,0,3.17617953125326,0.744433137116155,2.81088949613615,0.0583329793447475,1.30569767291074,0.149130540924406
TraesCS2D02G601600,0,0,0,0,0,0,0
TraesCS2D02G548200,0,0,0,0,0,0,0
TraesCS3D02G003600,0,0,0,0,0,0,0.0741116575928297
TraesCS3D02G027300,0,0,0.0479581917601125,0,0,0,0.0585343696968234
TraesCS3D02G199100,0.227132382671508,0.449437876109565,0,1.42555125002881,0.329124830557327,0.348945594983045,1.08099211242755
TraesCS3D02G303400,0,0,0,0,0,0.0192806738487557,0
TraesCS3D02G325400,0.115788887935312,0,0,0,0.0166543381826744,0,0
TraesCS3D02G328900,0.351306068358375,0.0972258893317165,0.0895975664298652,0.0372784489695829,0,0.161826046844273,0.0333364642199711
TraesCS3D02G333300,0,0,0,0,0,0,0.0574713382135179
TraesCS4D02G262600,0,0.0258716752196072,0.0460328013870461,0.0562140462654739,0,0,0.127803192980717
TraesCS4D02G040300,0.175016896540772,0.26835958251883,0.248303086089668,0.224082065638534,0.348429048228782,0.295352981142199,0.454713106684349
TraesCS4D02G015400_M,23.9439956603417,6.30521583717249,5.29824210785666,5.98671649500032,0.285130690013246,8.4503135277418,77.6896168435163
TraesCS4D02G313000,0.152263271875645,0.112500924595269,0.0833090134707725,0.157985834825512,0,0.0809483934004894,2.25227982129209
TraesCS5D02G021800,0,0.0256764955935698,0,0,0,0,0
TraesCS5D02G071500,0.0357761538493319,0,0,0,0,0,0
TraesCS5D02G228400,4.90471143004625,1.00625938791078,4.23830354317815,0.58239636765376,0.0711654858614913,1.77979286308013,3.50309527741301
TraesCS5D02G228500,0.0512802209375239,0.197854278074851,0.0400271769962681,0.682630858502016,0.0140553662027967,0.785814409916071,0.416265893529772
TraesCS5D02G496600,0,0,0,0,0,0,0
TraesCS6D02G009800,0.100887866889084,0.0686170545458359,0.170664229030891,0.119412776577569,0.060866847532646,0.0720954175941864,1.59637958750515
TraesCS6D02G012400,0,0,0,0,0,0,0
TraesCS6D02G045700,0,0,0,0,0,0,0.0903206511617271
TraesCS6D02G251700,0.41669404707835,0.127104865893131,0.238002781840976,0.170491789998331,0.105484712111934,0.0871986662140249,0.366164804077535
TraesCS6D02G308500,0,0,0,0,0,0,0
TraesCS6D02G308600,0,0,0,0,0,0,0
TraesCS6D02G308700,0,0,0,0,0,0,0
TraesCS6D02G308800,0,0,0,0,0,0,0
TraesCS6D02G308900,0,0,0,0,0,0,0
TraesCS6D02G309000,0,0,0,0,0,0,0.0293715501160529
TraesCS7D02G104700,0,0,0,0,0,0,0
TraesCS7D02G104900,0,0,0,0,0,0,0
TraesCS7D02G170200,2.08099418920308,0.383777717660229,0.461622256197157,0.824898449541556,0.0715398936264596,0.307807278896564,9.24232767320227
TraesCS7D02G211200,0.195473133983572,0.158739403182387,0.0702287432214367,0.0709951851199894,0.11075821702073,0.163379601552957,0.0929144386451335
TraesCS7D02G296100,0,1.33051821318137,0,3.56954451733983,0,4.78450998757104,0
TraesCS7D02G403100,0.530166955306653,1.65123867632769,1.50757742144053,2.00760372268594,1.70564192267595,1.76340990903103,0.44754657855516
TraesCS7D02G464900,0.0374141339025302,0,0,0,0.00389807371815645,0,0
TraesCS7D02G465000,0,0,0,0,0,0,0
TraesCS7D02G476400,0,0,0,0,0,0,0
TraesCS7D02G472200,0.00964290176759813,0,0,0,0.00416950806952228,0,0.0163316945988629
TraesCS1A02G019800,0,0,0,0,0,0,0
TraesCS1A02G020200,0,0,0,0,0,0,0
TraesCS2A02G705800_M,0.194613543698075,0.0338229851122794,0.10549579739175,0.189593828454588,0.0158076515542847,0.0334400986452639,0.206836376078409
TraesCS3A02G070300,0,0,0,0,0,0,0
TraesCS3A02G301300,0,0,0,0,0,0,0
TraesCS3A02G514400,0.115966635147233,0.241960799179242,0.522962416267001,0.179768534389024,0.176607812183207,0.0682084566788037,0.0349893196386987
TraesCS4A02G386700,0.67284270699859,1.51998057147006,0.758039864663778,3.29633914233703,0.00735409202799391,1.09741457893289,12.1313462551837
TraesCS4A02G464100,0,0.0529428512511918,0,0,0.0326271260478833,0,0
TraesCS4A02G464200,0,0,0,0,0,0,0
TraesCS4A02G472400,0.0298353029048763,0.0665043316881523,0.128320245650125,0.422002777312758,0.0229098835533374,0.181953439754623,2.25859392280211
TraesCS5A02G483000,0,0,0,0,0,0,0
TraesCS5A02G520400,0,0,0,0,0,0,0
TraesCS5A02G520500,0,0,0,0,0,0,0
TraesCS6A02G008700,0.131613214438625,0.199035937559405,0.129159416097276,0.181247422272315,0.340695471456767,0.093060246741407,0.0860482043363343
TraesCS6A02G038300,0,0,0,0,0,0,0
TraesCS6A02G106600,0.0753746037381777,0,0,0,0,0,0
TraesCS6A02G320900,0,0,0,0,0,0,0
TraesCS7A02G020400,0.116631728776096,0.102080197163158,0.207973047573307,0.515309391929861,0.0686996903245239,0.0951899746628304,3.50575105570188
TraesCS7A02G024800,0.259092877275022,0.719149843064694,0.0858359692903022,0.509460580933232,1.02354844427633,0.519067165534356,0.186964782816664
TraesCS7A02G024900,0.101922363548255,0.13282735778441,0.0554427912137987,0.152678479392817,0.31364234261742,0.0909831025083262,0.133047355869543
TraesCS7A02G087800,0.579293092023204,1.03660611947266,0.547236197522758,1.35580351292788,0,1.04761669167405,10.3023775984409
TraesCS7A02G281700,0,0,0,0,0,0,0
TraesCS7A02G461400,0,0,0,0,0,0,0
TraesCS1B02G049500,0,0,0,0,0,0,0
TraesCS1B02G041700,0,0,0,0,0,0,0
TraesCS2B02G301500,0,0,0,0,0,0,0
TraesCS3B02G009500,0,0,0,0,0,0,0
TraesCS3B02G084400,0,0,0,0,0,0,0
TraesCS3B02G011600,0,0,0,0,0,0,0
TraesCS4B02G086600,0.0666129387121519,0,0,0,0,0,0.0367956124079259
TraesCS4B02G351700,0,0,0,0.0893612580562728,0.0335178599999183,0.0901837050370109,0.0532231114190497
TraesCS4B02G351800,0.0460403560552819,0.0634756378826584,0,0.0797745613360086,0.0972422463406791,0.0754654271847657,0
TraesCS6B02G015700,0,0,0,0,0,0,0
TraesCS6B02G654200_M,0,0,0,0,0,0,0
TraesCS7B02G007300,0,0,0,0,0,0,0
TraesCS7B02G120500,0.0758024071623382,0.0507618756585009,0.181067082764464,0.220176090589525,0.0238739476416754,0.180524944309693,0.295230720662513
TraesCS7B02G379400,0.0149267642511262,0,0,0,0,0,0
TraesCS7B02G611500_M,0.141599361277426,0.125523737557044,0,0,0,0,0.0908124598160637
TraesCS2D02G548100,0,0,0,0,0,0,0
TraesCS2D02G555400,0.400025495093507,0.488297100440467,0.398643398340093,0.281883610458983,0.48812158196629,0.675075391340777,0.265529533406781
TraesCS2D02G667500_M,0,0,0,0,0,0,0
TraesCS2D02G740900_M,0.0295352024588801,4.50762472753659,1.43609263552724,5.40284105724707,0.108139891517584,2.41592031767135,0.281652704015759
TraesCS3D02G488300,0,0,0,0,0,0,0
TraesCS4D02G164600,3.66440478936777,6.91893433208299,6.33512820551043,6.68406657739978,2.32298116686883,6.92608119920417,3.61476762447699
TraesCS4D02G346500,0,0,0,0,0,0,0
TraesCS5D02G032500,1.52939246679168,2.04500190494606,2.49484594702003,1.31034704405824,2.39318878421747,1.28076896719641,2.10542351413288
TraesCS5D02G482100,0,0,0,0,0,0,0
TraesCS6D02G009900,0.123587214950477,0.0562142331730546,0.262896393284327,0.242955016110025,0.171985872929639,0.352243243286556,0.163518497078719
TraesCS6D02G044200,0,0,0,0,0,0,0
TraesCS7D02G104500,0,0,0,0,0,0,0
TraesCS7D02G016700,0,0,0.107462345639409,0.225993140830636,0,0,0.746849239343043
TraesCS7D02G022700,0.0349073043987052,0.0238943400421087,0,0.0436084146404091,0.171071813634801,0,0.129701206983055
TraesCS7D02G022800,0.0407795418851984,0,0,0,0.180485772642359,0,0
TraesCS7D02G104600,0,0,0,0,0,0,0
TraesCS7D02G082900,0,0.64830956049539,0.0520032734606483,0.65689844632229,0.67810859593357,0.186020612782008,1.6082118305486
TraesCS7D02G280200,0,0,0,0,0.0202100529156253,0,0
TraesCS7D02G449600,0.0171957164525642,0.0220987713658943,0,0,0,0,0.0176300864611599
TraesCS7D02G449000,0,0,0,0,0,0,0
TraesCSU02G149300,3.85645311685101,3.66212461496782,2.51931108511886,3.8340015786643,3.22220312866423,4.9347785774395,3.28614934639648
TraesCSU02G213700,0,0,0,0,0,0,0
