LC,LN,RC,RN
TaUMAMIT22,0,0,0,0
TaUMAMIT29,1.19363499813671,4.28146106414183,8.17006563130479,8.23764017002049
TaUMAMIT43,56.8963598264204,30.8991011934637,13.4688010875367,11.1195913226473
TaUMAMIT19,0.678827735632493,0,4.73934665905559,4.40757660014568
TaUMAMIT20,0,0,0.359652293873386,0.304723560829456
TaUMAMIT30,0.497831734719887,0,50.789799740117,43.9000359596049
TaUMAMIT31,6.59046561286788,3.11608193451175,7.19177481497511,12.6925128321889
TaUMAMIT47,0.446853956781812,0.334055619373469,0.12318585838408,0
TaUMAMIT8,0,0.146243806218928,0,0
TaUMAMIT27,0.244097033604185,0.46185608676308,0,0
TaUMAMIT44,34.6537157760191,47.9091935161502,41.92759255701,43.4773288779717
TaUMAMIT9,3.04280667458278,3.32693327948189,0.0912894374406634,0.378031868449816
TaUMAMIT35,0,0,13.9144980374455,16.6308532816035
TaUMAMIT34,0,0,7.18761708137931,8.55826945931945
TaUMAMIT84,0,0,0.0888561847697101,0.402869405316018
TaUMAMIT39,0,0.542083563416692,12.8211281060218,13.4921621418733
TaUMAMIT37,44.0164084320997,0.684263686361832,2.41621024937535,1.85758495851641
TaUMAMIT5,0,0,0.0493348094153109,0
TaUMAMIT45,9.99720970963538,2.04849086111168,1.97304797559485,0.885036731281924
TaUMAMIT21,0,0,30.7007120851472,20.3192299188046
TaUMAMIT26,0,0,0.104246823780233,1.11938003781202
TaUMAMIT91,0,0,0,0
TaUMAMIT7,0,0,0,0
TaUMAMIT42,30.9530159728877,23.9439282595721,3.7222948184781,2.46671080334187
TaUMAMIT92,0,0,0,0
TaUMAMIT52,0.525677408827566,0.0675441612839773,16.3656447998595,6.71742026947546
TaUMAMIT75,0,0,1.87366619425796,3.39916169146921
TaUMAMIT93,0,0.27841965117918,0,0
TaUMAMIT49,2.22943837484034,0.123857326195209,0.995744496078749,1.37998907432175
TaUMAMIT48,2.22345754274686,8.87734983334407,57.817546062034,77.18182125794
TaUMAMIT32,0,0.643278583194257,22.3645954766922,27.6529849016381
TaUMAMIT68,2.01049308736738,4.80727448180515,3.13728446655148,2.78980396845374
TaUMAMIT71,0,0,2.93255595230197,2.5364482040159
TaUMAMIT28,4.325064400322,1.01395705645124,1.68608966295857,2.29339333526222
TaUMAMIT50,2.76908289127269,0.799555134408533,4.47135734913788,4.35830930669573
TaUMAMIT15,0,0,2.52447141541763,3.06615562726168
TaUMAMIT10,0,0,3.38203107591849,0.430644551172213
TaUMAMIT12,0,0.139812031035544,79.745934294369,107.959282979668
TaUMAMIT16,0,0,2.78948065288754,2.82590951988237
TaUMAMIT13,0,0,101.449819271519,72.9813109271353
TaUMAMIT14,0.142317752381716,0.120596571546206,273.915900106696,272.636626643536
TaUMAMIT76,0,0,0,0
TaUMAMIT78,0,0,0,0.324446768650133
TaUMAMIT17,37.4585153716927,27.2166530793535,241.972164812715,337.030515222141
TaUMAMIT41,7.97511197793265,6.45647159892469,2.63999968895312,2.05579545969858
TaUMAMIT46,0,0,0,0
TaUMAMIT51,42.5247944089114,69.4763767320797,48.3642676752,57.7482421796832
TaUMAMIT1,0,0,0,0
TaUMAMIT2,0,0,3.83661332398804,2.94000151064197
TaUMAMIT18,0,0,0,0
TaUMAMIT6,0,0,0,0
TaUMAMIT23,0,0,0,0
TaUMAMIT24,0,0,0,0
TaUMAMIT73,0,0,0,0
TaUMAMIT58,0,0,0,0
TaUMAMIT86,0.896898080294477,0.800630120266846,0.607921399208757,1.83962936430559
TaUMAMIT62,0,0,0,0
TaUMAMIT85,0,0,0.127372474538838,0.962500494555407
TaUMAMIT36,0,0,0.9433599865699,4.58667632103998
TaUMAMIT25,0,0,0,0
TaUMAMIT96,0,0,0,0
TaUMAMIT40,0,0.110432395812243,1.80487860276675,3.33038326020424
TaUMAMIT60,0,0,0,0
TaUMAMIT82,0,0,0,0
TaUMAMIT59,0,0,0,0
TaUMAMIT55,0.176986507595621,0,0,0
TaUMAMIT70,38.4970384820443,53.0156009543345,28.7481067928777,19.084408347938
TaUMAMIT87,0,0,0,0
TaUMAMIT90,0,0,0,0
TaUMAMIT54,0,0,0,0
TaUMAMIT63,0,0,0.0564366043388013,0.127940341389601
TaUMAMIT67,0.138772119796428,0,0.255038772548355,0.231266554816358
TaUMAMIT56,0.612105351360923,0.118387843129609,0.89995366625732,1.22410319307559
TaUMAMIT69,2.19821122771321,6.14117108794613,7.54119517951749,3.66336363628104
TaUMAMIT79,0,0.675676958349473,7.08812287580034,9.54800490598963
TaUMAMIT33,0,0.158172338536949,0.420834777214781,0
TaUMAMIT88,0,0,0,0
TaUMAMIT89,0,0,0,0
TaUMAMIT65,5.06724685411535,8.17412741570142,9.56905059385247,6.10255561339056
TaUMAMIT72,0,0,0.373601330097988,0.483968387704036
TaUMAMIT74,0,0,0,0
TaUMAMIT77,0,0,0,0
TaUMAMIT94,0,0,0,0
TaUMAMIT11,0.131148275412582,0,0.626671464005343,0
TaUMAMIT80,0,0,0.320208632674257,0.989870176865039
TaUMAMIT83,1.825727281692,1.02992034091358,1.06253254936496,1.52130578926997
TaUMAMIT57,14.876251692481,2.83733842850766,16.9146406634359,7.01275824281502
TaUMAMIT66,8.88042443754427,4.43244084677255,3.58001568437162,3.34180171709637
TaUMAMIT64,2.97629609601965,4.60999067339828,3.99431243970259,3.59894068724534
TaUMAMIT81,0,0,0,0
TaUMAMIT53,0,0,0,0
TaUMAMIT38,0,0,0.0716986432553254,0.325077988044394
TaUMAMIT4,0,0,0,0
TaUMAMIT97,0,0,0,0
TaUMAMIT95,0,0,0.381897436613858,1.73150348036081
TaUMAMIT98,0,0,0,0
TaUMAMIT61,0,0,0,0
TaUMAMIT3,0,0,0,0
